Stock,Varana,Saba,BHR,Proxima,Owl_Creek,Elm_Ridge,Knightsbridge,King_Street,Shapiro,Regiment,Brigade,Fine
MRK,0,0,0,0,0,1,1,0,0,0,0,0
MSD,0,1,0,0,0,0,0,0,0,0,0,0
MSFT,0,0,0,0,0,0,0,0,1,0,0,0
MSI,0,0,0,0,0,0,0,0,0,0,0,0
MTCN,0,1,0,0,0,0,0,0,0,0,0,0
MTG,0,0,0,0,0,0,0,0,0,1,0,0
NAV,0,0,0,0,0,1,1,0,0,0,0,0
NBR,0,0,0,0,0,1,1,0,0,0,0,0
NCT,0,0,1,0,0,0,0,0,0,0,0,0
NEE,0,0,0,0,0,0,0,0,1,0,0,0
NEM,0,1,0,0,0,0,0,0,1,0,0,0
NFX,0,0,0,0,0,1,1,0,0,0,0,0
NHF,0,1,0,0,0,0,0,0,0,0,0,0
NHS,0,1,0,0,0,0,0,0,0,0,0,0
NLY,0,1,0,0,0,0,0,0,0,0,0,0
NM,1,0,0,0,0,0,0,0,0,1,0,0
NMM,1,0,0,0,0,0,0,0,0,0,0,0
NNA,0,0,1,0,0,0,0,1,0,0,0,0
NOK,0,1,0,1,0,0,0,0,0,0,0,0
NRF,0,0,1,0,0,0,0,0,0,0,0,0
NRG,0,1,0,0,0,0,0,0,0,1,1,0
NSC,0,1,0,0,0,0,0,0,0,0,0,0
NSL,0,1,0,0,0,0,0,0,0,0,0,0
NVE,0,0,0,0,0,0,0,0,1,0,0,0
NXPI,0,0,0,1,0,0,0,0,0,0,0,0
NYT,0,0,0,0,0,0,0,0,0,0,0,0
OIS,0,0,0,1,0,0,0,0,0,0,0,0
ONNN,0,0,0,0,0,1,1,0,0,0,0,0
ONXX,0,0,0,1,0,0,0,0,0,0,0,0
ORCL,0,0,0,0,0,1,1,0,0,0,0,0
ORI,0,0,0,0,0,0,0,0,0,0,0,0
ORIG,0,0,0,0,0,0,0,0,0,0,1,0
OUTR,0,0,0,0,1,0,0,0,0,0,0,1
PAG,0,0,0,0,0,0,0,0,1,0,0,0
PBF,0,0,1,0,0,0,0,0,0,0,0,0
PCI,0,1,0,0,0,0,0,0,0,0,0,0
PCP,1,0,0,0,1,0,0,0,0,0,0,0
PCY,0,1,0,0,0,0,0,0,0,0,0,0
PDI,0,1,0,0,0,0,0,0,0,0,0,0
PENN,0,0,1,0,0,0,0,0,0,0,0,0
PFE,0,0,0,0,0,0,0,0,1,0,0,0
PG,0,0,0,0,0,0,0,0,1,0,0,0
PGH,0,0,0,0,0,0,0,0,0,0,0,0
PHH,0,0,0,0,0,0,0,0,0,0,0,1
PKI,0,0,0,1,0,0,0,0,1,0,0,0
PNK,0,0,1,0,0,0,0,0,0,0,0,0
POL,0,0,0,0,0,0,0,0,0,0,0,1
POST,0,0,0,0,0,0,0,0,0,0,0,0
POT,0,0,0,0,0,0,0,0,1,0,0,0
PPS_PRA,0,0,0,0,0,0,0,0,1,0,0,0
PPT,0,1,0,0,0,0,0,0,0,0,0,0
PZN,0,0,0,0,0,0,0,0,0,0,0,1
QCOM,0,0,0,1,0,0,0,0,0,0,0,0
