Ticker,White.Elm.Capital,Viking.Global,Greenlight.Capital,Thirdpoint,Highline.Capital,Hoplite.Capital,Tiger.Consumer,Tiger.Global
CI,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
CTRX,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
HUM,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
ESRX,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
CYH,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
ATHN,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
DVA,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
BRLI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
DHR,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
CFX,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
DLPH,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
BWC,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
IR,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
WBC,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
PBI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
NAV,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
615272,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
BRK.A,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
VLO,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
MPC,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
COG,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
APC,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
B74CDH,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
WPX,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
KOG,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
CX,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
MLM,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
EXP,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
USG,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
TRER,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
GM,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
MHK,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
FBHS,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
FOSL,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
DHI,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
GRPN,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 
FLT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
MHFI,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
LAMR,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
RLGY,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
MCO,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
RRD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
B2987V,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
B01FLG,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
CCI,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
B16GWD,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
SBAC,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
VOD,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
OIS,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
HAL,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
WMB,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
URS,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
